ICR_id,# Designs Passing,#LowScore Designs,Failed Designs,Total Submitted
ICR_619,11,1,0,12
ICR_620,4,1,0,5
ICR_621,14,0,0,14
ICR_622,11,2,0,13
ICR_623,7,5,0,12
ICR_624,5,1,0,6
ICR_625,7,0,0,7
ICR_626,17,1,0,18
ICR_627,14,3,0,17
ICR_628,12,1,0,13
ICR_629,8,3,10,21
ICR_630,9,0,0,9
ICR_631,5,2,0,7
ICR_632,0,7,0,7
ICR_633,7,0,0,7
ICR_634,5,3,0,8
ICR_635,11,0,0,11
ICR_636,14,0,0,14
ICR_637,10,1,0,11
ICR_638,3,10,0,13
ICR_639,7,0,0,7
ICR_640,5,0,0,5
ICR_641,14,2,0,16
ICR_642,10,0,0,10
ICR_643,61,6,0,67
ICR_644,11,0,0,11
ICR_645,10,1,0,11
ICR_646,4,3,0,7
ICR_647,7,0,7,14
ICR_648,4,5,9,18
ICR_649,3,9,0,12
ICR_650,14,1,3,18
ICR_651,2,6,0,8
ICR_652,4,0,1,5
ICR_653,4,0,2,6
ICR_654,4,0,0,4
ICR_655,4,2,0,6
ICR_656,8,0,0,8
ICR_657,13,8,2,23
ICR_658,5,1,0,6
ICR_659,9,2,0,11
ICR_660,17,8,0,25
ICR_661,15,1,0,16
ICR_662,7,0,0,7
ICR_663,12,0,2,14
ICR_664,10,1,0,11
ICR_665,6,0,0,6
ICR_666,13,2,0,15
ICR_667,8,0,0,8
ICR_668,7,1,0,8
ICR_669,7,0,0,7
ICR_670,7,3,0,10
ICR_671,6,0,0,6
ICR_672,7,0,0,7
ICR_673,10,2,0,12
ICR_674,13,3,0,16
ICR_675,7,0,0,7
ICR_676,9,1,0,10
ICR_677,5,4,0,9
ICR_678,3,8,0,11
ICR_679,7,2,0,9
ICR_680,6,0,0,6
ICR_681,64,24,0,88
ICR_682,10,0,0,10
ICR_683,5,0,0,5
ICR_684,13,30,0,43
ICR_685,1,5,0,6
ICR_686,4,1,0,5
ICR_687,6,0,0,6
ICR_688,17,0,0,17
ICR_689,11,2,0,13
ICR_690,6,1,0,7
ICR_691,9,0,0,9
ICR_692,0,10,20,30
ICR_693,8,1,0,9
ICR_694,9,1,0,10
ICR_695,10,7,3,20
ICR_696,7,5,0,12
ICR_697,5,0,0,5
ICR_698,0,0,5,5
ICR_699,0,0,12,12
ICR_700,0,0,8,8
ICR_701,0,0,12,12
ICR_702,3,0,1,4
ICR_703,0,0,8,8
ICR_704,0,0,9,9
ICR_705,0,0,15,15
ICR_706,0,0,32,32
ICR_707,0,22,1,23
ICR_708,13,1,0,14
ICR_709,5,1,0,6
ICR_710,7,21,0,28
ICR_711,6,1,0,7
ICR_712,4,11,0,15
ICR_713,4,4,0,8
ICR_714,5,1,0,6
ICR_715,6,0,0,6
ICR_716,0,0,77,77
ICR_717,0,0,35,35
ICR_718,0,0,33,33
ICR_719,0,0,67,67
ICR_720,39,8,0,47
ICR_721,70,42,0,112
ICR_722,8,0,0,8
ICR_723,5,4,0,9
ICR_724,3,10,0,13
ICR_725,4,2,0,6
ICR_726,14,0,0,14
ICR_727,13,0,0,13
ICR_728,4,8,0,12
ICR_729,7,3,0,10
ICR_730,9,0,0,9
ICR_731,6,4,6,16
ICR_732,15,6,0,21
ICR_733,7,1,1,9
ICR_734,6,0,0,6
ICR_735,5,2,0,7
ICR_736,6,0,0,6
ICR_737,21,7,0,28
ICR_738,7,3,0,10
ICR_739,4,0,0,4
ICR_740,6,3,0,9
ICR_741,1,21,0,22
ICR_742,11,0,0,11
ICR_743,13,2,0,15
ICR_744,16,2,0,18
ICR_745,8,0,3,11
ICR_746,10,0,0,10
ICR_747,17,0,4,21
ICR_748,10,0,0,10
ICR_749,4,0,6,10
ICR_750,4,1,0,5
ICR_751,8,0,0,8
ICR_752,10,0,0,10
ICR_753,13,12,0,25
ICR_754,11,0,0,11
ICR_755,18,2,0,20
ICR_756,17,9,0,26
ICR_757,8,0,0,8
ICR_758,10,3,0,13
ICR_759,11,0,0,11
ICR_760,11,1,0,12
ICR_761,11,1,0,12
ICR_762,21,27,0,48
ICR_763,26,1,0,27
ICR_764,18,0,0,18
ICR_765,0,7,0,7
ICR_766,27,42,0,69
ICR_767,15,4,0,19
ICR_768,6,1,0,7
ICR_769,3,5,0,8
ICR_770,3,3,0,6
ICR_771,5,1,0,6
ICR_772,6,0,0,6
ICR_773,6,2,0,8
ICR_774,4,0,0,4
ICR_775,8,0,0,8
ICR_776,5,0,0,5
ICR_777,5,0,0,5
ICR_778,6,0,0,6
ICR_779,5,2,0,7
ICR_780,6,0,0,6
ICR_781,9,1,0,10
ICR_782,9,13,0,22
ICR_783,9,2,0,11
ICR_784,2,2,0,4
ICR_785,4,13,0,17
ICR_786,6,0,0,6
ICR_787,13,12,0,25
ICR_788,6,2,0,8
ICR_789,8,0,0,8
ICR_790,13,0,0,13
ICR_791,14,0,0,14
ICR_792,13,0,0,13
ICR_793,4,0,0,4
ICR_794,11,0,0,11
ICR_795,5,4,0,9
ICR_796,7,0,0,7
ICR_797,4,9,0,13
ICR_798,1,0,7,8
ICR_799,3,5,0,8
ICR_800,20,6,0,26
ICR_801,6,2,0,8
ICR_802,6,0,0,6
ICR_803,11,0,0,11
ICR_804,2,10,0,12
ICR_805,15,12,0,27
ICR_806,2,8,0,10
ICR_807,7,1,0,8
ICR_808,5,1,0,6
ICR_809,4,5,0,9
ICR_810,4,0,1,5
ICR_811,6,0,3,9
ICR_812,1,8,0,9
ICR_813,5,0,0,5
ICR_814,11,2,0,13
ICR_815,7,15,0,22
ICR_816,11,6,0,17
ICR_817,4,0,0,4
ICR_818,6,0,0,6
ICR_819,6,0,0,6
ICR_820,15,3,0,18
ICR_821,36,12,0,48
ICR_822,5,0,0,5
ICR_823,8,3,0,11
ICR_824,9,4,0,13
ICR_825,18,0,0,18
ICR_826,158,43,0,201
ICR_827,28,0,0,28
ICR_828,6,0,0,6
ICR_829,17,20,0,37
ICR_830,7,0,0,7
ICR_831,11,0,0,11
ICR_832,10,0,0,10
ICR_833,20,0,0,20
